id,source_file,month,year,sl_no,heads_of_crime,major_head,minor_head,upto_end_of_month,prev_year_month,previous_month,current_month,category_id,category_name,subcategory_id,subcategory_name,mapping_confidence,mapping_method
22,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,22,A - IPC Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Sudden Quarrel,25,10,7,7,2,Crimes Against Persons,7,Murder,0.95,substring
23,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,23,A - IPC Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Village Dispute,0,0,0,0,2,Crimes Against Persons,7,Murder,0.95,substring
24,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,24,A - IPC Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Custodial,0,0,0,0,2,Crimes Against Persons,7,Murder,0.95,substring
25,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,25,A - IPC Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Due to Other Causes,268,85,85,50,2,Crimes Against Persons,7,Murder,0.95,substring
26,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,26,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),For Gain,8,1,2,2,2,Crimes Against Persons,7,Murder,0.95,substring
27,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,27,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Over Property Dispute,22,8,7,10,2,Crimes Against Persons,7,Murder,0.95,substring
28,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,28,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Due to Personal Vendetta or enemity,35,4,10,9,2,Crimes Against Persons,7,Murder,0.95,substring
29,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,29,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Due to Sexual jealousy,3,4,1,0,2,Crimes Against Persons,7,Murder,0.95,substring
30,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,30,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),For Dowry other Means,11,1,1,5,2,Crimes Against Persons,7,Murder,0.95,substring
31,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,31,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Dowry By Burning,0,0,0,0,2,Crimes Against Persons,7,Murder,0.95,substring
