SL.NO,CRIME HEAD,MAJOR HEAD,MINOR HEAD,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month
122,A- IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Camel Racing Etc.,0,0,0,0
123,A- IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",To Compel For Marriage,3,4,2,1
124,A- IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Slavery,0,0,0,0
125,A- IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Stealing From its Person,0,0,0,0
126,A- IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Others,95,47,51,44
127,A- IPC Crime,DACOITY (Sec. 395 to 398 IPC ),At ATM,0,0,0,0
128,A- IPC Crime,DACOITY (Sec. 395 to 398 IPC ),At Residential Premises,4,5,4,0
129,A- IPC Crime,DACOITY (Sec. 395 to 398 IPC ),On Highways,4,3,2,2
130,A- IPC Crime,DACOITY (Sec. 395 to 398 IPC ),In Trains,0,0,0,0
131,A- IPC Crime,DACOITY (Sec. 395 to 398 IPC ),At Banks,0,0,0,0
132,A- IPC Crime,DACOITY (Sec. 395 to 398 IPC ),At Commercial Places / Establishments,1,0,0,1
133,A- IPC Crime,DACOITY (Sec. 395 to 398 IPC ),On Other Roads,10,4,4,6
134,A- IPC Crime,DACOITY (Sec. 395 to 398 IPC ),In Other Places,7,5,2,5
135,A- IPC Crime,DACOITY (Sec. 395 to 398 IPC ),River & Sea,0,0,0,0
136,A- IPC Crime,DACOITY (Sec. 395 to 398 IPC ),Preparation And Assembly for Dacoity,24,26,10,14
137,A- IPC Crime,Robbery (Sec.392 to 394 IPC),At ATM,0,1,0,0
138,A- IPC Crime,Robbery (Sec.392 to 394 IPC),At Residential Premises,29,10,17,12
139,A- IPC Crime,Robbery (Sec.392 to 394 IPC),On Highways,18,4,8,10
140,A- IPC Crime,Robbery (Sec.392 to 394 IPC),In Trains,0,0,0,0
141,A- IPC Crime,Robbery (Sec.392 to 394 IPC),At Banks,0,0,0,0
142,A- IPC Crime,Robbery (Sec.392 to 394 IPC),At Commercial Places / Establishments,13,5,8,5
143,A- IPC Crime,Robbery (Sec.392 to 394 IPC),In Other Places,98,51,57,41
144,A- IPC Crime,Robbery (Sec.392 to 394 IPC),Chain Snatching,103,37,54,49
145,A- IPC Crime,Robbery (Sec.392 to 394 IPC),Attempt to Commit,9,3,6,3
146,A- IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Residential Premises,435,185,225,210
147,A- IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",On Highways,0,0,0,0
148,A- IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",In Trains,0,0,0,0
149,A- IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Banks,8,7,5,3
150,A- IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Commercial Places / Establishments,131,57,54,77
151,A- IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",In Other Places,105,44,56,49
152,A- IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",Temple Theft,64,16,32,32
153,A- IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Residential Premises,129,60,62,67
154,A- IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",On Highways,0,0,0,0
155,A- IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",In Trains,0,0,0,0
156,A- IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Banks,0,0,0,0
157,A- IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Commercial Places / Establishments,6,3,2,4
158,A- IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",In Other Places,10,2,6,4
159,A- IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",Temple Theft,5,2,3,2
160,A- IPC Crime,THEFT (Sec.379 to 389 IPC),Of sand,170,82,65,105
161,A- IPC Crime,THEFT (Sec.379 to 389 IPC),Attempt to commit,10,3,3,7
162,A- IPC Crime,THEFT (Sec.379 to 389 IPC),At ATM,0,2,0,0
163,A- IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Tractors,15,0,10,5
164,A- IPC Crime,THEFT (Sec.379 to 389 IPC),Communication And Elec. Wire,41,17,26,15
165,A- IPC Crime,THEFT (Sec.379 to 389 IPC),Of Cattle,56,51,32,24
166,A- IPC Crime,THEFT (Sec.379 to 389 IPC),Of Cycle,18,10,13,5
167,A- IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Lorries/Trucks,25,15,14,11
168,A- IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Buses,3,0,1,2
169,A- IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Cars / Jeeps,38,22,25,13
170,A- IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Two Wheelers ,1622,842,814,808
171,A- IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobies - of Three Wheelers,55,13,37,18
172,A- IPC Crime,THEFT (Sec.379 to 389 IPC),Of Accessories of Motor Vehicle,40,32,21,19
173,A- IPC Crime,THEFT (Sec.379 to 389 IPC),Govt. Vehicle,0,1,0,0
174,A- IPC Crime,THEFT (Sec.379 to 389 IPC),"Electronic Goods (Radio, TV, VCR, Acs, Office Automation Equipments)",231,98,117,114
175,A- IPC Crime,THEFT (Sec.379 to 389 IPC),Of Fire Arms,0,0,0,0
176,A- IPC Crime,THEFT (Sec.379 to 389 IPC),Of Explosives,1,0,0,1
177,A- IPC Crime,THEFT (Sec.379 to 389 IPC),Of Cultural - Idols,0,0,0,0
178,A- IPC Crime,THEFT (Sec.379 to 389 IPC),Of Cultural - Painting,1,0,0,1
179,A- IPC Crime,THEFT (Sec.379 to 389 IPC),Of Cultrual - Others,48,27,25,23
180,A- IPC Crime,THEFT (Sec.379 to 389 IPC),Cash,84,48,39,45
181,A- IPC Crime,THEFT (Sec.379 to 389 IPC),Jewellery,209,67,98,111
182,A- IPC Crime,THEFT (Sec.379 to 389 IPC),Other Items Not Included Above,260,157,129,131
