Sl.No.,CRIME HEAD,MAJOR HEAD,MINOR HEAD,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month
231,A-IPC CRIME,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Food Grain,0,0,0,0
232,A-IPC CRIME,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Kerosene,0,0,0,0
233,A-IPC CRIME,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Life Saving Drug,0,0,0,0
234,A-IPC CRIME,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Mobile Oil,0,0,0,0
235,A-IPC CRIME,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Petrol,0,0,0,0
236,A-IPC CRIME,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Petroleum Product,0,0,0,0
237,A-IPC CRIME,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Soft Drinks,0,0,0,0
238,A-IPC CRIME,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Spices,0,0,0,0
239,A-IPC CRIME,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Others,13,2,3,4
240,A-IPC CRIME,AFFRAY (Sec. 160 IPC ),NA,377,48,58,80
241,A-IPC CRIME,"ARSON (Sec. 435, 436, 438 IPC )",Agricultural Produce,46,0,2,2
242,A-IPC CRIME,"ARSON (Sec. 435, 436, 438 IPC )",Attemp to Commit,2,1,1,0
243,A-IPC CRIME,"ARSON (Sec. 435, 436, 438 IPC )",Boat / Ship,0,0,0,0
244,A-IPC CRIME,"ARSON (Sec. 435, 436, 438 IPC )",Dwelling House,15,1,1,1
245,A-IPC CRIME,"ARSON (Sec. 435, 436, 438 IPC )",Educational Institution,0,0,0,0
246,A-IPC CRIME,"ARSON (Sec. 435, 436, 438 IPC )",Govt. Property,4,0,0,0
247,A-IPC CRIME,"ARSON (Sec. 435, 436, 438 IPC )",Industrial Establishment,3,0,1,0
248,A-IPC CRIME,"ARSON (Sec. 435, 436, 438 IPC )",Place of worship,2,0,0,0
249,A-IPC CRIME,"ARSON (Sec. 435, 436, 438 IPC )",Public Place,12,1,3,2
250,A-IPC CRIME,"ARSON (Sec. 435, 436, 438 IPC )",Railway Property,0,0,0,0
251,A-IPC CRIME,"ARSON (Sec. 435, 436, 438 IPC )",Vital Installation,0,0,0,0
252,A-IPC CRIME,"ARSON (Sec. 435, 436, 438 IPC )",Warehouse (Godown),2,0,0,0
253,A-IPC CRIME,"ARSON (Sec. 435, 436, 438 IPC )",Others,100,13,16,14
254,A-IPC CRIME,"ASSAULT (Sec 356, 357 IPC)",Attempt To Commit,2,0,0,0
255,A-IPC CRIME,"ASSAULT (Sec 356, 357 IPC)",On Contractor,0,0,0,0
256,A-IPC CRIME,"ASSAULT (Sec 356, 357 IPC)",On Domestic Servant,0,0,0,0
257,A-IPC CRIME,"ASSAULT (Sec 356, 357 IPC)",On Labourer,1,0,0,0
258,A-IPC CRIME,"ASSAULT (Sec 356, 357 IPC)",On Man (General),7,1,1,2
259,A-IPC CRIME,"ASSAULT (Sec 356, 357 IPC)",On Man (SC),0,0,0,0
260,A-IPC CRIME,"ASSAULT (Sec 356, 357 IPC)",On Man (ST),0,0,0,0
261,A-IPC CRIME,"ASSAULT (Sec 356, 357 IPC)",On Manager/Executive (Other Than Public Servant),0,0,0,0
262,A-IPC CRIME,"ASSAULT (Sec 356, 357 IPC)","On Member of Clergy (Christian, Budhist, Jain, Sikh)",0,0,0,0
263,A-IPC CRIME,"ASSAULT (Sec 356, 357 IPC)",Member of Legislative Assembly / Council (MLA/MLC),0,0,0,0
264,A-IPC CRIME,"ASSAULT (Sec 356, 357 IPC)",On Member of Parliament (MP),0,0,0,0
265,A-IPC CRIME,"ASSAULT (Sec 356, 357 IPC)",On other Dignitaries /Public Figures,2,0,0,0
266,A-IPC CRIME,"ASSAULT (Sec 356, 357 IPC)",On Press,1,0,0,0
267,A-IPC CRIME,"ASSAULT (Sec 356, 357 IPC)",On Professional ,2,0,0,1
268,A-IPC CRIME,"ASSAULT (Sec 356, 357 IPC)",On Public Servant,1,0,0,0
269,A-IPC CRIME,"ASSAULT (Sec 356, 357 IPC)",On Student,0,0,0,0
270,A-IPC CRIME,"ASSAULT (Sec 356, 357 IPC)",On Teacher,0,0,0,0
271,A-IPC CRIME,"ASSAULT (Sec 356, 357 IPC)",On Women (General),8,0,2,0
272,A-IPC CRIME,"ASSAULT (Sec 356, 357 IPC)",On Woman (SC),0,0,0,0
273,A-IPC CRIME,"ASSAULT (Sec 356, 357 IPC)",On Woman (ST),0,0,0,0
274,A-IPC CRIME,COMMUNAL / RELIGION (Sec. 295 to 297 IPC),Attempt to Commit,1,2,0,0
275,A-IPC CRIME,COMMUNAL / RELIGION (Sec. 295 to 297 IPC),Caste Issue,7,0,1,0
276,A-IPC CRIME,COMMUNAL / RELIGION (Sec. 295 to 297 IPC),Communal Issue,25,2,8,3
277,A-IPC CRIME,COMMUNAL / RELIGION (Sec. 295 to 297 IPC),Linguistic Issue,1,0,0,0
278,A-IPC CRIME,COMMUNAL / RELIGION (Sec. 295 to 297 IPC),Political Issue,4,1,0,0
279,A-IPC CRIME,COMMUNAL / RELIGION (Sec. 295 to 297 IPC),Racial/Ethnic Issue,0,0,0,0
280,A-IPC CRIME,COMMUNAL / RELIGION (Sec. 295 to 297 IPC),Regional Issue,4,1,0,1
281,A-IPC CRIME,COMMUNAL / RELIGION (Sec. 295 to 297 IPC),Religious Issue,33,6,3,7
282,A-IPC CRIME,COMMUNAL / RELIGION (Sec. 295 to 297 IPC),Sectarian Issue,1,0,0,0
283,A-IPC CRIME,COMMUNAL / RELIGION (Sec. 295 to 297 IPC),Others,41,4,2,6
284,A-IPC CRIME,"CRIMINAL CONSPIRACY (Sec. 120(B), 121(A) IPC)",Conspiracy To Wage War,1,0,0,0
285,A-IPC CRIME,"CRIMINAL CONSPIRACY (Sec. 120(B), 121(A) IPC)",Related to Substantive Offence,1,1,0,0
286,A-IPC CRIME,"CRIMINAL CONSPIRACY (Sec. 120(B), 121(A) IPC)",Others,16,1,3,2
287,A-IPC CRIME,CRIMINAL INTIMIDATION (Sec. 504 to 508 IPC),NA,1513,145,235,246
288,A-IPC CRIME,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Attempt to Commit,0,0,0,0
289,A-IPC CRIME,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Bank,0,1,0,0
290,A-IPC CRIME,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Business Establishment,2,0,0,0
291,A-IPC CRIME,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Charitable Organisation,0,0,0,0
292,A-IPC CRIME,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Chitfund Organisation,0,0,0,0
293,A-IPC CRIME,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Co-operative Organisation,0,0,0,0
294,A-IPC CRIME,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Commercial Establishment/Shop,0,0,0,0
295,A-IPC CRIME,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Customs Department,0,0,0,0
296,A-IPC CRIME,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Excise Department,0,0,0,0
297,A-IPC CRIME,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Financial Institution,0,0,0,0
298,A-IPC CRIME,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Income Tax Department,0,0,0,0
299,A-IPC CRIME,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Other Government Organisation,2,0,0,1
300,A-IPC CRIME,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Postal Department,0,0,0,0
301,A-IPC CRIME,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Public Sector Undertakings,0,0,0,0
302,A-IPC CRIME,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Railway Department,0,0,0,0
303,A-IPC CRIME,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Revenue Department,0,0,0,0
304,A-IPC CRIME,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Sales Tax Department,0,0,0,0
305,A-IPC CRIME,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Social Organisation (Aided) (N),0,0,0,0
306,A-IPC CRIME,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Transport Authority,0,0,0,0
307,A-IPC CRIME,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Trust - Other than religious,0,0,0,0
308,A-IPC CRIME,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Trust - Religious,0,0,0,0
309,A-IPC CRIME,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Others,5,1,0,1
310,A-IPC CRIME,CRIMINAL TRESPASS (Sec.447 to 452 IPC),Attempt to Commit,10,0,4,1
311,A-IPC CRIME,CRIMINAL TRESPASS (Sec.447 to 452 IPC),Club,1,0,0,0
312,A-IPC CRIME,CRIMINAL TRESPASS (Sec.447 to 452 IPC),Hostel,1,0,0,0
313,A-IPC CRIME,CRIMINAL TRESPASS (Sec.447 to 452 IPC),Hotel,9,2,2,2
314,A-IPC CRIME,CRIMINAL TRESPASS (Sec.447 to 452 IPC),House,391,38,38,67
315,A-IPC CRIME,CRIMINAL TRESPASS (Sec.447 to 452 IPC),Land,906,74,156,151
316,A-IPC CRIME,CRIMINAL TRESPASS (Sec.447 to 452 IPC),Office,46,3,5,9
317,A-IPC CRIME,CRIMINAL TRESPASS (Sec.447 to 452 IPC),Prohibited Places,11,6,2,2
318,A-IPC CRIME,CRIMINAL TRESPASS (Sec.447 to 452 IPC),Religious Place,11,1,2,1
319,A-IPC CRIME,CRIMINAL TRESPASS (Sec.447 to 452 IPC),Restricted Area,15,3,4,2
320,A-IPC CRIME,CRIMINAL TRESPASS (Sec.447 to 452 IPC),Others,144,18,22,23
321,A-IPC CRIME,CRUELTY BY HUSBAND (Sec. 498(A) IPC),Husband ,732,58,113,123
322,A-IPC CRIME,CRUELTY BY HUSBAND (Sec. 498(A) IPC),Husband And Relative(S) in Law,950,115,154,135
323,A-IPC CRIME,CRUELTY BY HUSBAND (Sec. 498(A) IPC),Relative(S) in Law,21,3,4,1
324,A-IPC CRIME,CRUELTY BY HUSBAND (Sec. 498(A) IPC),Dowry Harassment,359,30,45,78
325,A-IPC CRIME,CRUELTY BY HUSBAND (Sec. 498(A) IPC),Prevention of Gaming,0,0,0,0
326,A-IPC CRIME,CRUELTY BY HUSBAND (Sec. 498(A) IPC),Sub Total,2062,206,316,337
327,A-IPC CRIME,CRUELTY BY HUSBAND (Sec. 498(A) IPC),DOWRY DEATHS (Sec.304(B) IPC),,,,
328,A-IPC CRIME,CRUELTY BY HUSBAND (Sec. 498(A) IPC),By Husband  ,7,1,0,1
329,A-IPC CRIME,CRUELTY BY HUSBAND (Sec. 498(A) IPC),By Husband And Relatives In Law,40,6,8,3
330,A-IPC CRIME,CRUELTY BY HUSBAND (Sec. 498(A) IPC),By Relatives in Law,0,0,0,0
331,A-IPC CRIME,CRUELTY BY HUSBAND (Sec. 498(A) IPC),By Burning,2,0,0,1
332,A-IPC CRIME,CRUELTY BY HUSBAND (Sec. 498(A) IPC),By Hanging,43,3,7,7
333,A-IPC CRIME,CRUELTY BY HUSBAND (Sec. 498(A) IPC),By Other Means,5,1,1,1
334,A-IPC CRIME,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Electrocution,16,2,4,1
335,A-IPC CRIME,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Adulterated Food/Drug,0,0,0,0
336,A-IPC CRIME,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Accident by Air,1,0,0,0
337,A-IPC CRIME,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Boad Accident,0,0,0,0
338,A-IPC CRIME,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Bridge/Dam Collapse,0,0,0,0
339,A-IPC CRIME,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Building Collapse,6,1,0,1
340,A-IPC CRIME,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Caused By Animal,1,0,0,0
341,A-IPC CRIME,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Death Due to Other Cause,49,7,3,5
342,A-IPC CRIME,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Electrocution Accident,39,3,5,4
343,A-IPC CRIME,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Explosion Accident,1,0,0,0
344,A-IPC CRIME,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Fire accident,0,0,0,0
345,A-IPC CRIME,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Gas Leakage Accident,3,0,0,1
346,A-IPC CRIME,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Improper Infrastucture In Construction,52,5,8,10
347,A-IPC CRIME,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Improper Medical Treatment,2,0,0,0
348,A-IPC CRIME,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),In Custody of Public Servant,0,0,0,0
349,A-IPC CRIME,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),In Jail/Judicial Custody,0,0,0,0
350,A-IPC CRIME,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),In Police Custody,0,0,0,0
351,A-IPC CRIME,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Industrial Accident (Factory),3,0,1,1
352,A-IPC CRIME,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Inflammable Substance,0,0,0,0
353,A-IPC CRIME,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Mine Accident,0,0,0,0
354,A-IPC CRIME,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Poisonous Substance,0,0,0,0
355,A-IPC CRIME,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Quarry Accident,1,0,0,0
356,A-IPC CRIME,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Spurious Liquor (Hooch) Accident,0,0,0,0
357,A-IPC CRIME,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Railway Accident,0,0,0,0
358,A-IPC CRIME,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Others,55,6,8,7
359,A-IPC CRIME,MOTOR VEHICLE ACCIDENTS FATAL (Sec.304(A) IPC),National Highways,2570,317,299,286
360,A-IPC CRIME,MOTOR VEHICLE ACCIDENTS FATAL (Sec.304(A) IPC),State Highways,2101,231,207,222
361,A-IPC CRIME,MOTOR VEHICLE ACCIDENTS FATAL (Sec.304(A) IPC),Other Roads,2769,280,294,293
362,A-IPC CRIME,MOTOR VEHICLE ACCIDENTS FATAL (Sec.304(A) IPC),Other Places,119,11,11,11
363,A-IPC CRIME,"MOTOR VEHICLE ACCIDENTS NON-FATAL (Sec.279, 337, 338 IPC)",National Highways,6809,728,804,853
364,A-IPC CRIME,"MOTOR VEHICLE ACCIDENTS NON-FATAL (Sec.279, 337, 338 IPC)",State Highways,4893,559,553,600
365,A-IPC CRIME,"MOTOR VEHICLE ACCIDENTS NON-FATAL (Sec.279, 337, 338 IPC)",Other Roads,9041,988,1164,1212
366,A-IPC CRIME,"MOTOR VEHICLE ACCIDENTS NON-FATAL (Sec.279, 337, 338 IPC)",Other Places,331,18,46,41
367,A-IPC CRIME,"DEATHS-MISCARRIAGE (Sec.312, 313, 314 IPC)",Child,5,0,1,1
368,A-IPC CRIME,"DEATHS-MISCARRIAGE (Sec.312, 313, 314 IPC)",Woman,2,0,0,1
369,A-IPC CRIME,"DEATHS-MISCARRIAGE (Sec.312, 313, 314 IPC)",Women and Child,1,0,0,0
370,A-IPC CRIME,"DEFENCE FORCES OFFENCES RELATING (also relating to desertion) (Sec.131 to 140, except 136 IPC)",Air Force,0,0,0,0
371,A-IPC CRIME,"DEFENCE FORCES OFFENCES RELATING (also relating to desertion) (Sec.131 to 140, except 136 IPC)",Army,0,0,0,0
372,A-IPC CRIME,"DEFENCE FORCES OFFENCES RELATING (also relating to desertion) (Sec.131 to 140, except 136 IPC)",Navy,0,0,0,0
373,A-IPC CRIME,"ESCAPE FROM LAWFUL CUSTODY AND RESISTANCE (Sec.224, 225, 225(B) IPC)",From Jail Custody,9,0,2,2
374,A-IPC CRIME,"ESCAPE FROM LAWFUL CUSTODY AND RESISTANCE (Sec.224, 225, 225(B) IPC)",From Police Custody,18,3,1,2
375,A-IPC CRIME,"ESCAPE FROM LAWFUL CUSTODY AND RESISTANCE (Sec.224, 225, 225(B) IPC)",Others,11,1,1,2
376,A-IPC CRIME,"IMPERSONATION (Sec.170, 171 IPC)",Attempt to Commit,3,0,0,1
377,A-IPC CRIME,"IMPERSONATION (Sec.170, 171 IPC)",Non-Uniformed Authority,3,0,0,0
378,A-IPC CRIME,"IMPERSONATION (Sec.170, 171 IPC)",Uniformed Authority,2,0,0,0
379,A-IPC CRIME,"MISCHIEF (Sec.427 to 440 except 434, 435, 436, 438 IPC)",NA,303,30,43,44
380,A-IPC CRIME,MOLESTATION (Sec.354 IPC),Attempt to Commit,64,12,6,9
381,A-IPC CRIME,MOLESTATION (Sec.354 IPC),Private Place,732,59,93,118
382,A-IPC CRIME,MOLESTATION (Sec.354 IPC),Public Conveyance,11,0,1,2
383,A-IPC CRIME,MOLESTATION (Sec.354 IPC),Public Place,1469,139,220,202
384,A-IPC CRIME,MOLESTATION (Sec.354 IPC),Other Places,1979,183,264,301
385,A-IPC CRIME,POISONING-PROFESSIONAL (Sec. 328 IPC),Attempt to Commit,7,3,1,2
386,A-IPC CRIME,POISONING-PROFESSIONAL (Sec. 328 IPC),Fatal,0,0,0,0
387,A-IPC CRIME,POISONING-PROFESSIONAL (Sec. 328 IPC),Non Fatal,4,4,0,1
388,A-IPC CRIME,PORNOGRAPHY (Sec.292 to 294 IPC),Advertisement,0,0,0,0
389,A-IPC CRIME,PORNOGRAPHY (Sec.292 to 294 IPC),Audio Tape,0,0,0,0
390,A-IPC CRIME,PORNOGRAPHY (Sec.292 to 294 IPC),Book,0,0,0,0
391,A-IPC CRIME,PORNOGRAPHY (Sec.292 to 294 IPC),Computer Software,0,0,0,0
392,A-IPC CRIME,PORNOGRAPHY (Sec.292 to 294 IPC),Figures,1,0,0,1
393,A-IPC CRIME,PORNOGRAPHY (Sec.292 to 294 IPC),Film (Blue),0,0,0,0
394,A-IPC CRIME,PORNOGRAPHY (Sec.292 to 294 IPC),Painting,0,0,0,0
395,A-IPC CRIME,PORNOGRAPHY (Sec.292 to 294 IPC),Pamphlet,0,0,0,0
396,A-IPC CRIME,PORNOGRAPHY (Sec.292 to 294 IPC),Paper,0,0,0,0
397,A-IPC CRIME,PORNOGRAPHY (Sec.292 to 294 IPC),Photography,0,0,0,0
398,A-IPC CRIME,PORNOGRAPHY (Sec.292 to 294 IPC),Poster,0,0,0,0
399,A-IPC CRIME,PORNOGRAPHY (Sec.292 to 294 IPC),Video Film(Blue),1,0,0,0
400,A-IPC CRIME,PORNOGRAPHY (Sec.292 to 294 IPC),Others,8,0,0,0
401,A-IPC CRIME,PUBLIC JUSTICE (Sec.213 to 215 IPC),NA,1,0,1,0
402,A-IPC CRIME,PUBLIC NUISANCE (Sec.291 and 510 IPC),NA,81,15,4,14
403,A-IPC CRIME,"PUBLIC SAFETY (Sec.269 to 271, 277, 283, 289 IPC)",NA,7284,398,1371,673
404,A-IPC CRIME,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC)",Attempt to Commit,7,1,2,0
405,A-IPC CRIME,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC)",Defence Personnel,3,0,0,0
406,A-IPC CRIME,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC)",Jail Personnel,7,0,1,1
407,A-IPC CRIME,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC)",Judicial Official,3,0,0,2
408,A-IPC CRIME,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC)",Minister,0,0,0,0
409,A-IPC CRIME,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC)",MLA,2,0,0,0
410,A-IPC CRIME,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC)",MP,0,0,0,0
411,A-IPC CRIME,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC)",Nationalised Bank Personnel,1,0,0,1
412,A-IPC CRIME,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC)",Other Elected Member,3,0,0,0
413,A-IPC CRIME,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC)",Other Enforcement Official,3,0,0,1
414,A-IPC CRIME,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC)",Other Govt. Official,295,28,40,34
415,A-IPC CRIME,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC)",Para Military Personnel,1,0,0,0
416,A-IPC CRIME,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC)",Police Personnel,273,40,27,36
417,A-IPC CRIME,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC)",Public Sector Undertaking Official,62,11,11,6
418,A-IPC CRIME,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 139, 167, 218, 221, 222 IPC)",Defence Personnel,0,0,0,0
419,A-IPC CRIME,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 139, 167, 218, 221, 222 IPC)",Jail Personnel,0,0,0,0
420,A-IPC CRIME,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 139, 167, 218, 221, 222 IPC)",Judicial Official,0,0,0,0
421,A-IPC CRIME,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 139, 167, 218, 221, 222 IPC)",Minister,0,0,0,0
422,A-IPC CRIME,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 139, 167, 218, 221, 222 IPC)",MLA,0,0,0,0
423,A-IPC CRIME,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 139, 167, 218, 221, 222 IPC)",MP,0,0,0,0
424,A-IPC CRIME,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 139, 167, 218, 221, 222 IPC)",Nationalised Bank Personnel,0,0,0,0
425,A-IPC CRIME,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 139, 167, 218, 221, 222 IPC)",Other Elected Member,0,0,0,0
426,A-IPC CRIME,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 139, 167, 218, 221, 222 IPC)",Other Enforcement Official,0,0,0,0
427,A-IPC CRIME,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 139, 167, 218, 221, 222 IPC)",Other Govt. Official,3,0,0,1
428,A-IPC CRIME,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 139, 167, 218, 221, 222 IPC)",Para Military Personnel,0,0,0,0
429,A-IPC CRIME,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 139, 167, 218, 221, 222 IPC)",Police Personnel,0,0,0,0
430,A-IPC CRIME,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 139, 167, 218, 221, 222 IPC)",Public Sector Undertaking Official,0,0,0,0
431,A-IPC CRIME,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 139, 167, 218, 221, 222 IPC)",Others,2,0,0,0
432,A-IPC CRIME,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC)",Death Causeed By Electric Shock,49,9,7,6
433,A-IPC CRIME,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC)",Animal -Related,42,2,8,9
434,A-IPC CRIME,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC)",Boat/Vessel - Related,0,0,0,0
435,A-IPC CRIME,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC)",Explosive/Explosive Substances - Related,12,2,1,1
436,A-IPC CRIME,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC)",Inflammable Substance- Related ,8,0,1,2
437,A-IPC CRIME,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC)",Machinery - Related,88,6,10,8
438,A-IPC CRIME,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC)",Poisonous Substance - Related,8,0,2,0
439,A-IPC CRIME,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC)",Other - Related,598,156,113,85
440,A-IPC CRIME,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC)",Human - Related,483,29,205,85
441,A-IPC CRIME,RECEIVING OF STOLEN PROPERTY (Sec.411 to 414 IPC),NA,1,1,0,0
442,A-IPC CRIME,SEDITION (Sec. 124A IPC),Attempt to Commit,0,0,0,0
443,A-IPC CRIME,SEDITION (Sec. 124A IPC),By Foreigner,0,0,0,0
444,A-IPC CRIME,SEDITION (Sec. 124A IPC),By National,0,0,0,0
445,A-IPC CRIME,SEDITION (Sec. 124A IPC),By National And Foreigner,0,0,0,0
446,A-IPC CRIME,SEDITION (Sec. 124A IPC),Sub Total,0,0,0,0
447,A-IPC CRIME,SEDITION (Sec. 124A IPC),INSULTING MODESTY OF WOMEN (EVE TEASING) (Sec.509 IPC),,,,
448,A-IPC CRIME,SEDITION (Sec. 124A IPC),Attempt to Commit,5,1,0,2
449,A-IPC CRIME,SEDITION (Sec. 124A IPC),Office,10,0,1,1
450,A-IPC CRIME,SEDITION (Sec. 124A IPC),Public Conveyance,2,0,0,0
451,A-IPC CRIME,SEDITION (Sec. 124A IPC),Public Place,29,1,6,5
452,A-IPC CRIME,SEDITION (Sec. 124A IPC),Other Places,41,4,10,10
453,A-IPC CRIME,"SUICIDE (Sec.305, 306, 309 IPC)",Dowry,6,0,0,1
454,A-IPC CRIME,"SUICIDE (Sec.305, 306, 309 IPC)",Abetment of Suicide,197,29,34,32
